,reg,eta,iterations,C,solver,train_accuracy,test_accuracy,run_time
224,1,0.01,20,0.01,BFGS,0.735247765,0.744285646,19.40305638
225,1,0.01,20,0.01,SA,0.482068742,0.480342621,3.905810833
226,1,0.01,20,0.001,BFGS,0.750526328,0.756893316,11.30380082
227,1,0.01,20,0.001,SA,0.481334889,0.479428324,3.989850044
228,1,0.01,20,0.0001,BFGS,0.752270731,0.758625668,11.19363475
229,1,0.01,20,0.0001,SA,0.481238646,0.479476445,4.202649355
230,1,0.01,50,1,BFGS,0.449466453,0.451566335,11.2001946
231,1,0.01,50,1,SA,0.524331412,0.523218324,9.98986721
232,1,0.01,50,0.1,BFGS,0.479097241,0.477695972,26.69994712
233,1,0.01,50,0.1,SA,0.577108622,0.578316732,10.00434828
234,1,0.01,50,0.01,BFGS,0.748312741,0.754342909,26.79303098
235,1,0.01,50,0.01,SA,0.559736776,0.56070449,9.688948154
236,1,0.01,50,0.001,BFGS,0.779314991,0.783792888,33.89444327
237,1,0.01,50,0.001,SA,0.552229828,0.554111929,8.997816324
238,1,0.01,50,0.0001,BFGS,0.779808236,0.785092151,21.70820451
239,1,0.01,50,0.0001,SA,0.551556128,0.553149512,9.89868021
240,1,0.001,10,1,BFGS,0.449466453,0.451566335,11.40165424
241,1,0.001,10,1,SA,0.478279177,0.476829796,2.094492197
242,1,0.001,10,0.1,BFGS,0.479097241,0.477695972,25.50068188
243,1,0.001,10,0.1,SA,0.478279177,0.476829796,2.18966198
244,1,0.001,10,0.01,BFGS,0.691986574,0.703960348,10.89956236
245,1,0.001,10,0.01,SA,0.478279177,0.476829796,2.202640772
246,1,0.001,10,0.001,BFGS,0.69648593,0.709638612,8.294583321
247,1,0.001,10,0.001,SA,0.478279177,0.476829796,2.09619832
248,1,0.001,10,0.0001,BFGS,0.696846841,0.709301766,8.588511944
249,1,0.001,10,0.0001,SA,0.478279177,0.476829796,2.09658742
250,1,0.001,20,1,BFGS,0.449466453,0.451566335,10.59870148
251,1,0.001,20,1,SA,0.478279177,0.476829796,3.987101555
252,1,0.001,20,0.1,BFGS,0.479097241,0.477695972,26.00799227
253,1,0.001,20,0.1,SA,0.478279177,0.476829796,4.203244686
254,1,0.001,20,0.01,BFGS,0.735247765,0.744285646,19.50031877
255,1,0.001,20,0.01,SA,0.478279177,0.476829796,4.291912317
256,1,0.001,20,0.001,BFGS,0.750526328,0.756893316,11.69347048
257,1,0.001,20,0.001,SA,0.478279177,0.476829796,3.897677183
258,1,0.001,20,0.0001,BFGS,0.752270731,0.758625668,12.09308743
259,1,0.001,20,0.0001,SA,0.478279177,0.476829796,3.991157293
260,1,0.001,50,1,BFGS,0.449466453,0.451566335,10.89908457
261,1,0.001,50,1,SA,0.478279177,0.476829796,9.402387857
262,1,0.001,50,0.1,BFGS,0.479097241,0.477695972,25.79463267
263,1,0.001,50,0.1,SA,0.478279177,0.476829796,8.699642658
264,1,0.001,50,0.01,BFGS,0.748312741,0.754342909,26.00430489
265,1,0.001,50,0.01,SA,0.478279177,0.476829796,10.09076738
266,1,0.001,50,0.001,BFGS,0.779314991,0.783792888,33.9022913
267,1,0.001,50,0.001,SA,0.478279177,0.476829796,10.19709826
268,1,0.001,50,0.0001,BFGS,0.779808236,0.785092151,20.80286503
269,1,0.001,50,0.0001,SA,0.478279177,0.476829796,9.884912729
270,1,0.0001,10,1,BFGS,0.449466453,0.451566335,9.396131039
271,1,0.0001,10,1,SA,0.478279177,0.476829796,2.094728708
272,1,0.0001,10,0.1,BFGS,0.479097241,0.477695972,27.69196916
273,1,0.0001,10,0.1,SA,0.478279177,0.476829796,2.09546113
274,1,0.0001,10,0.01,BFGS,0.691986574,0.703960348,11.29278111
275,1,0.0001,10,0.01,SA,0.478279177,0.476829796,2.088228703
276,1,0.0001,10,0.001,BFGS,0.69648593,0.709638612,7.494452238
277,1,0.0001,10,0.001,SA,0.478279177,0.476829796,1.796957016
278,1,0.0001,10,0.0001,BFGS,0.696846841,0.709301766,8.087803364
279,1,0.0001,10,0.0001,SA,0.478279177,0.476829796,2.292071819
280,1,0.0001,20,1,BFGS,0.449466453,0.451566335,11.40027523
281,1,0.0001,20,1,SA,0.478279177,0.476829796,3.806634426
282,1,0.0001,20,0.1,BFGS,0.479097241,0.477695972,26.58586907
283,1,0.0001,20,0.1,SA,0.478279177,0.476829796,3.899438858
284,1,0.0001,20,0.01,BFGS,0.735247765,0.744285646,18.99009204
285,1,0.0001,20,0.01,SA,0.478279177,0.476829796,4.19360733
286,1,0.0001,20,0.001,BFGS,0.750526328,0.756893316,11.6003387
287,1,0.0001,20,0.001,SA,0.478279177,0.476829796,3.804394484
288,1,0.0001,20,0.0001,BFGS,0.752270731,0.758625668,11.700176
289,1,0.0001,20,0.0001,SA,0.478279177,0.476829796,4.194821835
